time,open,high,low,close,tick_volume
2025-02-13 00:00:00,1.03924,1.04004,1.03883,1.03899,1249
2025-02-13 01:00:00,1.03898,1.0402,1.03874,1.03998,2115
2025-02-13 02:00:00,1.03997,1.04077,1.03966,1.04039,1590
2025-02-13 03:00:00,1.04041,1.04217,1.04035,1.0419,1589
2025-02-13 04:00:00,1.0419,1.04353,1.04186,1.04347,2009
2025-02-13 05:00:00,1.04345,1.04384,1.04308,1.0435,2028
2025-02-13 06:00:00,1.04348,1.044,1.04288,1.0431,2261
2025-02-13 07:00:00,1.04312,1.04366,1.04228,1.04259,3507
2025-02-13 08:00:00,1.04258,1.04267,1.04103,1.04141,3506
2025-02-13 09:00:00,1.0414,1.04263,1.04112,1.0423,2685
2025-02-13 10:00:00,1.0423,1.04291,1.04134,1.04158,2418
2025-02-13 11:00:00,1.04158,1.04275,1.03927,1.0403,4536
2025-02-13 12:00:00,1.0403,1.04035,1.03859,1.03901,3769
2025-02-13 13:00:00,1.03903,1.04071,1.03756,1.03927,6081
2025-02-13 14:00:00,1.03925,1.04015,1.03815,1.03999,4518
2025-02-13 15:00:00,1.04,1.04382,1.03999,1.04334,9475
2025-02-13 16:00:00,1.04331,1.04453,1.04246,1.04276,3681
2025-02-13 17:00:00,1.04274,1.04391,1.04249,1.04256,2491
2025-02-13 18:00:00,1.04257,1.04318,1.03732,1.04091,12514
2025-02-13 19:00:00,1.04094,1.04427,1.04084,1.04371,4373
2025-02-13 20:00:00,1.0437,1.0466,1.04356,1.04616,2515
2025-02-13 21:00:00,1.04618,1.04673,1.04573,1.04644,1248
2025-02-13 22:00:00,1.04643,1.0467,1.04625,1.0467,866
2025-02-13 23:00:00,1.04667,1.04674,1.04564,1.04616,1089
2025-02-14 00:00:00,1.04616,1.0467,1.04579,1.04609,1548
2025-02-14 01:00:00,1.0461,1.04673,1.04584,1.04592,2016
2025-02-14 02:00:00,1.04592,1.04612,1.04552,1.04569,1496
2025-02-14 03:00:00,1.04569,1.04617,1.0454,1.04587,1149
2025-02-14 04:00:00,1.04587,1.04639,1.04549,1.04551,1160
2025-02-14 05:00:00,1.0455,1.0456,1.04473,1.04529,1368
2025-02-14 06:00:00,1.04527,1.0461,1.0452,1.04585,1641
2025-02-14 07:00:00,1.04584,1.04721,1.04584,1.0465,3014
2025-02-14 08:00:00,1.04652,1.04865,1.04634,1.0477,3597
2025-02-14 09:00:00,1.0477,1.04878,1.0476,1.04812,3002
2025-02-14 10:00:00,1.04812,1.04829,1.04644,1.0467,2505
2025-02-14 11:00:00,1.04671,1.04695,1.04631,1.04676,2236
2025-02-14 12:00:00,1.04674,1.04749,1.04571,1.04717,2549
2025-02-14 13:00:00,1.04716,1.0498,1.04714,1.04882,5100
2025-02-14 14:00:00,1.04885,1.05141,1.04872,1.05085,4309
2025-02-14 15:00:00,1.05085,1.05128,1.04911,1.05082,4232
2025-02-14 16:00:00,1.0508,1.05102,1.0497,1.04977,3056
2025-02-14 17:00:00,1.04978,1.05089,1.04942,1.05072,2072
2025-02-14 18:00:00,1.05072,1.05081,1.04995,1.05043,1582
2025-02-14 19:00:00,1.05043,1.05053,1.0495,1.04988,1690
2025-02-14 20:00:00,1.04986,1.04986,1.04913,1.04923,1345
2025-02-14 21:00:00,1.04925,1.04951,1.04887,1.04913,895
2025-02-16 22:00:00,1.04858,1.04896,1.04848,1.04891,416
2025-02-16 23:00:00,1.04895,1.04943,1.04848,1.04884,1327
2025-02-17 00:00:00,1.04883,1.04933,1.04854,1.04923,1244
2025-02-17 01:00:00,1.04923,1.05063,1.04897,1.05052,1726
2025-02-17 02:00:00,1.05052,1.05054,1.0495700000000001,1.05014,1408
2025-02-17 03:00:00,1.05013,1.05036,1.04942,1.04946,1373
2025-02-17 04:00:00,1.04947,1.04973,1.04894,1.04955,1112
2025-02-17 05:00:00,1.04956,1.04982,1.04848,1.04897,1893
2025-02-17 06:00:00,1.04897,1.04936,1.04878,1.04917,1658
2025-02-17 07:00:00,1.04919,1.0495700000000001,1.04803,1.04827,2883
2025-02-17 08:00:00,1.04827,1.04849,1.04711,1.04744,3247
2025-02-17 09:00:00,1.04744,1.04815,1.04714,1.04741,2366
2025-02-17 10:00:00,1.04739,1.04893,1.0473,1.04889,2085
2025-02-17 11:00:00,1.04887,1.04893,1.04778,1.0482,1849
2025-02-17 12:00:00,1.04821,1.04852,1.04686,1.04725,2408
2025-02-17 13:00:00,1.04726,1.04765,1.04672,1.04745,1849
2025-02-17 14:00:00,1.04745,1.04793,1.04712,1.04784,1772
2025-02-17 15:00:00,1.04783,1.04841,1.04742,1.04795,1855
2025-02-17 16:00:00,1.04797,1.04833,1.04767,1.04786,1512
2025-02-17 17:00:00,1.04785,1.0485,1.04778,1.04824,1058
2025-02-17 18:00:00,1.04825,1.04827,1.04792,1.04822,527
2025-02-17 19:00:00,1.04822,1.04839,1.04796,1.04818,589
2025-02-17 20:00:00,1.04818,1.04839,1.04806,1.04833,458
2025-02-17 21:00:00,1.04833,1.04851,1.04825,1.0483,389
2025-02-17 22:00:00,1.04828,1.0484,1.04796,1.04816,811
2025-02-17 23:00:00,1.04815,1.04857,1.04775,1.0485,745
2025-02-18 00:00:00,1.0485,1.04863,1.04727,1.04752,1243
2025-02-18 01:00:00,1.04752,1.0476,1.04626,1.04662,1860
2025-02-18 02:00:00,1.04663,1.04709,1.04658,1.04675,1332
2025-02-18 03:00:00,1.04675,1.04725,1.04621,1.04633,1570
